noches_viaje,gasto_total_cop
3,150000.0
1,60000.0
6,2000000.0
4,2000000.0
4,2000000.0
5,1500000.0
5,1500000.0
1,400000.0
1,240000.0
1,240000.0
3,400000.0
3,400000.0
3,400000.0
3,1200000.0
1,92000.0
1,92000.0
1,225000.0
1,130000.0
1,130000.0
1,130000.0
2,220000.0
3,150000.0
2,500000.0
7,3000000.0
3,4000000.0
3,700000.0
5,4600000.0
2,300000.0
2,159000.0
2,184000.0
7,480000.0
5,136000.0
60,900000.0
4,1950000.0
4,1950000.0
2,900000.0
2,230000.0
5,90000.0
1,90000.0
8,745000.0
3,500000.0
1,1880000.0
1,1880000.0
8,2000000.0
8,2000000.0
3,400000.0
3,400000.0
1,400000.0
1,400000.0
1,80000.0
1,80000.0
1,392000.0
1,392000.0
4,1000000.0
4,1000000.0
2,200000.0
2,400000.0
2,400000.0
2,400000.0
7,630000.0
1,92000.0
5,2220000.0
4,1500000.0
4,1500000.0
1,760000.0
3,340000.0
3,340000.0
27,210000.0
3,3200000.0
3,3200000.0
1,200000.0
3,1100000.0
3,1100000.0
3,1100000.0
2,60000.0
1,300000.0
1,300000.0
5,1300000.0
2,100000.0
1,350000.0
1,350000.0
1,350000.0
1,660000.0
1,660000.0
2,274000.0
3,200000.0
10,6060000.0
10,6060000.0
10,6060000.0
10,6060000.0
10,6060000.0
10,1620000.0
10,1620000.0
1,50000.0
1,50000.0
1,50000.0
6,138000.0
4,1240000.0
4,1240000.0
4,1205000.0
2,530000.0
6,605000.0
1,150000.0
1,565000.0
1,565000.0
1,260000.0
1,260000.0
2,360000.0
2,360000.0
2,1100000.0
1,300000.0
1,300000.0
5,100000.0
1,300000.0
1,300000.0
1,300000.0
2,250000.0
2,250000.0
4,5000000.0
4,5000000.0
4,5000000.0
4,6700000.0
4,6700000.0
4,6700000.0
6,800000.0
6,800000.0
1,500000.0
1,500000.0
1,500000.0
2,120000.0
2,100000.0
1,230000.0
4,2000000.0
2,73000.0
1,120000.0
1,120000.0
1,200000.0
1,200000.0
12,50000.0
5,50000.0
9,420000.0
4,800000.0
1,200000.0
1,115000.0
7,300000.0
2,200000.0
15,100000.0
3,1600000.0
3,1600000.0
3,1600000.0
8,50000.0
1,260000.0
9,200000.0
2,200000.0
7,3000000.0
2,500000.0
4,700000.0
4,700000.0
2,300000.0
4,230000.0
15,4020000.0
15,4020000.0
6,400000.0
6,400000.0
3,300000.0
3,300000.0
4,1600000.0
4,1600000.0
8,500000.0
3,200000.0
1,120000.0
2,2000000.0
21,600000.0
2,430000.0
1,70000.0
2,300000.0
2,300000.0
2,300000.0
2,500000.0
5,200000.0
4,7000000.0
4,7000000.0
4,500000.0
4,500000.0
4,500000.0
3,50000.0
17,700000.0
9,800000.0
4,1100000.0
5,450000.0
2,600000.0
1,70000.0
4,1200000.0
4,400000.0
4,400000.0
4,400000.0
4,400000.0
4,400000.0
4,400000.0
6,600000.0
12,300000.0
12,300000.0
4,500000.0
4,500000.0
2,130000.0
30,600000.0
3,1000000.0
3,1000000.0
1,50000.0
1,150000.0
1,150000.0
6,1660000.0
7,1200000.0
7,1200000.0
7,1200000.0
7,1200000.0
3,1160000.0
2,400000.0
2,400000.0
3,1400000.0
3,1400000.0
5,300000.0
17,765000.0
15,1000000.0
3,600000.0
4,450000.0
5,1500000.0
3,800000.0
3,800000.0
3,800000.0
3,800000.0
7,500000.0
3,300000.0
4,2000000.0
4,2000000.0
8,5000000.0
8,5000000.0
8,5000000.0
5,700000.0
2,600000.0
2,600000.0
1,300000.0
1,300000.0
1,300000.0
1,300000.0
1,500000.0
1,500000.0
1,500000.0
1,500000.0
3,200000.0
1,110000.0
1,50000.0
2,100000.0
2,100000.0
19,100000.0
2,150000.0
2,50000.0
3,2550000.0
3,2550000.0
15,800000.0
5,250000.0
3,1000000.0
2,300000.0
3,1500000.0
3,2000000.0
1,200000.0
2,3150000.0
1,200000.0
2,265500.0
5,510000.0
2,650000.0
1,350000.0
87,75000.0
1,150000.0
3,4500000.0
1,98400.0
4,4000000.0
4,4000000.0
2,250000.0
1,528000.0
1,528000.0
5,1000000.0
5,1000000.0
1,680000.0
1,60000.0
1,60000.0
1,50000.0
1,50000.0
1,50000.0
1,50000.0
13,200000.0
2,300000.0
2,300000.0
8,1800000.0
8,1800000.0
7,3000000.0
7,3000000.0
2,150000.0
7,400000.0
2,250000.0
5,700000.0
3,1500000.0
3,1500000.0
3,1417000.0
3,1417000.0
4,60000.0
1,120000.0
4,400000.0
4,1200000.0
4,1200000.0
1,80000.0
4,450000.0
3,250000.0
4,2100000.0
2,1200000.0
2,1200000.0
2,1200000.0
4,50000.0
3,5000000.0
3,5000000.0
3,5000000.0
3,5000000.0
2,100000.0
2,100000.0
2,100000.0
4,2500000.0
4,2500000.0
3,1030000.0
3,500000.0
4,1000000.0
6,850000.0
15,1250000.0
5,4200000.0
1,330000.0
1,620000.0
1,620000.0
1,750000.0
1,750000.0
3,195000.0
4,1335000.0
1,400000.0
1,400000.0
2,130000.0
3,1000000.0
3,1000000.0
3,1000000.0
1,700000.0
1,700000.0
3,2000000.0
3,400000.0
2,200000.0
2,200000.0
1,600000.0
1,600000.0
1,600000.0
6,200000.0
1,250000.0
3,100000.0
